Complete Dictionary
---------------------------------
Word                | Count
will                | 40
wind                | 1
wine                | 1
winged              | 2
winging             | 1
wings               | 1
wisdom              | 1
wise                | 3
wish                | 3
with                | 24
within              | 1
without             | 1
woke                | 1
woman               | 1
wonder              | 1
wool                | 1
words               | 8
work                | 6
working             | 2
works               | 1
world               | 2
worse               | 3
worst               | 2
worthy              | 1
would               | 26
wounded             | 1
wretched            | 1
writings            | 1
writingsanybody     | 1
written             | 1
wronging            | 1
wrote               | 1
xenophons           | 1
yes                 | 29
yet                 | 7
you                 | 135
your                | 19
yourself            | 3
youwhether          | 1
